1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
CMD,GMHI,,,,,,GMWI2,,,,,,MIJAM(6182),,,,,,MIJAM(4323),,,,,,MIJAM(6182)10-fold,,,,,,MIJAM(75 features),,,,,,MIJAM(6182),,MIJAM(4323),,MIJAM(6182)10-fold,
,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,,,,,,
TO,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,V1,V2,V1,V2,V1,V2
1,61.91,95.19,28.63,61.27,96.11,26.44,68.37,85.97,50.78,66.48,50.48,82.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,61.96,95.29,28.62,59.65,95.62,23.67,68.7,86.18,51.23,68.31,48.79,87.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,63.01,93.86,32.15,60.73,93.92,27.54,69.34,86.32,52.38,66.73,48.79,84.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,62.3,94.21,30.39,65.08,94.4,35.75,70.34,83.02,57.66,68.42,51.69,85.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,62.21,93.81,30.62,66.55,94.65,38.46,67.57,85.48,49.65,71.68,56.25,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,62.37,94.03,30.71,63.87,95.37,32.37,70.16,84.91,55.41,71.79,58.45,85.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,62.53,94.19,30.87,62.29,92.7,31.88,68.09,86.18,50,71.09,55.07,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,63.01,94.19,31.83,60.24,93.92,26.57,69.31,86.86,51.77,68.54,53.14,83.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,62.65,94.38,30.92,59.88,93.19,26.57,69.29,85.26,53.32,66.49,49.28,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,62.66,94.05,31.26,63.18,93.67,32.69,69.83,85.99,53.67,69.15,51.92,86.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,62.46,94.32,30.6,62.27,94.36,30.19,69.1,85.62,52.59,68.87,52.39,85.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62.54,79.88,45.2,60.68,77.62,43.75,80.17,79.75,80.59,77.02,77.88,76.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,61.89,77.53,46.25,62.12,78.83,45.41,79.66,79.42,79.9,78.67,77.78,79.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,62.26,73.88,50.64,61.14,73.97,48.31,80.23,80.02,80.44,76.73,76.33,77.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,61.93,78.31,45.55,63.2,76.64,49.76,79.88,79.96,79.8,77.22,74.39,80.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,62.02,76.85,47.18,63.81,77.62,50,79.5,79.2,79.79,81.02,80.29,81.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,61.63,78.99,44.27,64.28,80.24,48.31,79.58,79.32,79.85,81.3,82.61,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
