CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,10,s__Romboutsia_ilealis,10,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,10,s__Granulicatella_adiacens,10
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)",10,PWY-6263: superpathway of menaquinol-8 biosynthesis II,10,ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),10,s__Clostridium_citroniae,10
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,10,PWY-621: sucrose degradation III (sucrose invertase),10,ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,10,FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,10
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,10,PWY-5723: Rubisco shunt,10,ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,10,P164-PWY: purine nucleobases degradation I (anaerobic),10
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",10,s__Erysipelatoclostridium_ramosum,10,"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",10,PWY-6629: superpathway of L-tryptophan biosynthesis,10
AST-PWY: L-arginine degradation II (AST pathway),10,s__Clostridium_symbiosum,10,BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,10,PWY-6731: starch degradation III,10
CITRULBIO-PWY: L-citrulline biosynthesis,10,s__Clostridium_bolteae,10,COLANSYN-PWY: colanic acid building blocks biosynthesis,10,PWY-6902: chitin degradation II (Vibrio),10
CRNFORCAT-PWY: creatinine degradation I,10,s__Bacteroides_fragilis,10,CRNFORCAT-PWY: creatinine degradation I,10,PWY-7345: superpathway of anaerobic sucrose degradation,10
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative),10,s__Ruminococcus_gnavus,10,DAPLYSINESYN-PWY: L-lysine biosynthesis I,10,PWY66-389: phytol degradation,10
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,10,s__Bacteroides_stercoris,10,FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),10,s__Bacteroides_coprocola,10
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,10,RUMP-PWY: formaldehyde oxidation I,10,FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,10,s__Bacteroides_fragilis,10
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",10,PWY-7046: 4-coumarate degradation (anaerobic),10,FUCCAT-PWY: fucose degradation,10,s__Bacteroides_plebeius,10
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,10,PWY-5083: NAD/NADH phosphorylation and dephosphorylation,10,"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",10,s__Clostridium_bolteae,10
GLUDEG-I-PWY: GABA shunt,10,PWY-5994: palmitate biosynthesis I (animals and fungi),10,GLUCARDEG-PWY: D-glucarate degradation I,10,s__Clostridium_hathewayi,10
GLYCOCAT-PWY: glycogen degradation I (bacterial),10,P124-PWY: Bifidobacterium shunt,10,GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,10,s__Ruminococcus_callidus,10
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",10,s__Intestinibacter_bartlettii,10,GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,10,NAGLIPASYN-PWY: lipid IVA biosynthesis,10
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,10,s__Barnesiella_intestinihominis,10,"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",10,s__Fusobacterium_nucleatum,10
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic),10,s__Bifidobacterium_adolescentis,10,HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,10,s__Holdemania_filiformis,10
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),10,s__Roseburia_sp_CAG_471,10,HISDEG-PWY: L-histidine degradation I,10,s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,10
