All features,,,,,,,,,,,,,,,,,,
study,disease,Disease Sample Size,healthy sample size,results,module,module_size,auroc,mean_shuffled_auroc,sd_shuffled_auroc,inter_view_corr,mean_shuffled_inter_view_corr,T,P,Z_Score_AUC,Empirical_P_value,FDR_Adjusted_P,AUC_vs_Random_Improvement,Corr_vs_Random_Diff
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,5,0.796222222,0.775336139,0.061556802,0.887564074,0.150621436,3,2,0.339297727,0.367192727,0.609341676,0.026938101,0.736942638
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,7,0.758222222,0.780121773,0.063125424,0.512850009,0.151851406,3,4,-0.34692125,0.635674759,0.858297605,-0.028071965,0.360998603
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,6,0.943,0.771665264,0.057335914,0.500335604,0.153569677,4,2,2.988262052,0.001402844,0.003825939,0.222032459,0.346765927
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,4,0.538722439,0.570477413,0.03529003,0.332827584,0.089187891,2,2,-0.899828478,0.815894232,0.88356129,-0.055663859,0.243639693
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,15,0.650632811,0.56365668,0.026804772,0.218242472,0.088619613,8,7,3.244800254,0.000587665,0.002424773,0.154306928,0.129622859
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,2,0.622133575,0.553947605,0.048063527,,,2,0,1.41866347,0.077998576,0.155997152,0.12309101,
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module4,2,0.536954455,0.559463033,0.055291735,,,2,0,-0.407087569,0.658028164,0.858297605,-0.040232467,
HMP_2019_ibdmdb,UC,387,363,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,28,0.546376647,0.561672336,0.019998675,0.190156713,0.087078946,16,12,-0.76483512,0.777815134,0.88356129,-0.027232406,0.103077767
HMP_2019_ibdmdb,UC,387,363,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,2,0.588398503,0.5537507,0.027515776,,,0,2,1.259197742,0.103979459,0.194961485,0.062569317,
HMP_2019_ibdmdb,UC,387,363,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,18,0.714004938,0.554658714,0.018807336,0.224620938,0.088432938,8,10,8.472556879,0,0,0.287286975,0.136188
HMP_2019_ibdmdb,UC,387,363,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module4,6,0.538502173,0.565175877,0.030540943,0.434694434,0.091341588,4,2,-0.873375259,0.808770714,0.88356129,-0.047195404,0.343352846
IjazUZ_2017,CD ,38,32,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,14,0.996598639,0.754964612,0.050438018,0.343574993,0.126366771,7,7,4.790712177,8.31E-07,4.99E-06,0.320060071,0.217208222
IjazUZ_2017,CD ,38,32,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,11,0.733673469,0.75131588,0.047493057,0.580721406,0.119399875,5,6,-0.371473477,0.644857546,0.858297605,-0.023482015,0.461321531
KarlssonFH_2013,IGT,49,43,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,16,0.76175873,0.677041166,0.027958003,0.334964735,0.09476811,9,7,3.030172219,0.001222072,0.003666215,0.125129118,0.240196625
KarlssonFH_2013,IGT,49,43,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,3,0.736651587,0.670868406,0.020445549,,,0,3,3.217481761,0.000646606,0.002424773,0.098056758,
KarlssonFH_2013,IGT,49,43,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,10,0.662352381,0.680001018,0.023425791,0.759823498,0.092382886,6,4,-0.753384891,0.77439067,0.88356129,-0.025953839,0.667440612
KarlssonFH_2013,IGT,49,43,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module4,2,0.496595238,0.661399727,0.038674655,0.929722311,0.093391832,1,1,-4.261304697,0.999989838,0.999989838,-0.249175321,0.836330479
KarlssonFH_2013,IGT,49,43,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module5,2,0.586819444,0.667660839,0.035444211,0.61152851,0.118401019,1,1,-2.28080673,0.988720057,0.999989838,-0.121081529,0.493127491
KarlssonFH_2013,T2D,53,43,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,5,0.66995873,0.662920142,0.024272804,0.430718735,0.091362184,3,2,0.289978364,0.385916395,0.609341676,0.01061755,0.339356551
KarlssonFH_2013,T2D,53,43,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,10,0.660822222,0.668881025,0.022630264,0.417976505,0.093580402,5,5,-0.356107335,0.639119908,0.858297605,-0.012048186,0.324396103
NagySzakalD_2017,ME/CFS,50,50,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,21,0.759642857,0.658761664,0.025181469,0.296384428,0.097972289,11,10,4.006167909,3.09E-05,0.000154279,0.153137619,0.198412139
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,17,0.727151786,0.59305214,0.015912582,0.445036302,0.089799402,8,9,8.427271325,0,0,0.226117801,0.3552369
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,12,0.634330538,0.600345252,0.022960727,0.362097408,0.088754652,5,7,1.480148516,0.069416808,0.155905251,0.056609569,0.273342756
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,18,0.707392857,0.610040252,0.031633123,0.175615717,0.090587306,13,5,3.07755276,0.001043539,0.003478465,0.159583904,0.085028411
YuJ_2015,CRC,45,38,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,4,0.783661322,0.678246324,0.018752479,0.20339914,0.094956983,2,2,5.621390004,9.47E-09,9.47E-08,0.155422881,0.108442157
YuJ_2015,CRC,45,38,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,4,0.711665857,0.678721537,0.02263328,0.60146149,0.098155963,3,1,1.455569851,0.072755784,0.155905251,0.048538787,0.503305527
YuJ_2015,CRC,45,38,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,4,0.656397797,0.679284197,0.024523062,0.893825253,0.085685684,3,1,-0.933260292,0.824657204,0.88356129,-0.033691936,0.808139569
